ID,Titulo,PS4P,PS4S,PS5P,PS5S,URL
1179,Kingdom Come: Deliverance,"6,00$","4,00$",,,https://image.api.playstation.com/vulcan/ap/rnd/202602/0313/8d0a12037596ef54fb9f7e79bd77bca4942df26119014b2c.png?w=1024&
785,Life is Strange Remastered Collection,,,11,,https://image.api.playstation.com/vulcan/ap/rnd/202105/1412/bJYCCmymxvgviuuolfOx8srg.png?w=1024&
792,Lords of the Fallen Deluxe Edition,,,"24,00$",,https://image.api.playstation.com/vulcan/ap/rnd/202308/2308/e3e15c28b56aa40ea81bd6cd0218a056cbad1b6867793c80.png?w=1024&
793,Mafia II: Definitive Edition,"6,00$",,,,https://image.api.playstation.com/vulcan/img/cfn/11307DO9eedqhwWEmMN0CoZLz2VcrH3OyC6eMxeIuCeBshFIj2P6aNDOrufsNFbgDdF_wLuzCAaDxbEk0rJobfXb7RUI73Ur.png?w=1024&
1081,Mafia: Trilogy,"5,5",,,,https://image.api.playstation.com/vulcan/ap/rnd/202009/0902/7CAOfTFXzgypO4TWHnWtQstC.png?w=1024&
1081,Mafia: Trilogy,6,,,,https://image.api.playstation.com/vulcan/ap/rnd/202009/0902/7CAOfTFXzgypO4TWHnWtQstC.png?w=1024&
806,METAL SLUG ANTHOLOGY,8,,,,https://image.api.playstation.com/cdn/UP0576/CUSA03749_00/ImHDRENlttkdiXlm3K8ejNVgLURd3uTw.png?w=1024&
813,Metro Exodus,"5,00$",,"6,00$",,https://image.api.playstation.com/vulcan/img/rnd/202010/2814/jhNIE3yH1SNEe9CmxTVHAdme.png?w=1024&
812,Middle-earth: Shadow of Mordor - Game of the Year Edition,"15,50$",,,,https://image.api.playstation.com/cdn/UP1018/CUSA01939_00/FLeJUgiFE7zF7bfdcajTozv07lX1R0LF.png?w=1024&
815,Middle-earth: Shadow of War,11,11,,NULL,https://image.api.playstation.com/cdn/UP1018/CUSA04408_00/H22G15Alh9YRC8aVCGTRk1SmIXimOYsg.png?w=1024&
